City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Prainha,BR,-1.8,-53.48,93.7,35,13,4.36,few clouds
295,Phan Thiet,VN,10.9333,108.1,74.95,89,60,5.93,broken clouds
296,Wucheng,CN,29.6008,118.175,80.01,76,92,0.98,overcast clouds
297,Hervey Bay,AU,-25.2986,152.8535,62.4,83,100,2.26,light rain
298,Great Yarmouth,GB,52.6083,1.7305,74.41,82,0,9.73,clear sky
299,Komsomolskiy,UZ,40.4272,71.7189,77.72,38,32,4.61,scattered clouds
300,Elizabeth City,US,36.2946,-76.2511,87.82,71,0,13.8,clear sky
301,Hofn,IS,64.2539,-15.2082,51.78,83,63,15.52,broken clouds
302,Namie,JP,37.4833,141.0,82.71,81,60,11.95,broken clouds
303,Saint-Georges,GD,12.0564,-61.7485,85.68,74,75,6.91,broken clouds
304,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,87,75,10.36,light rain
305,Tuatapere,NZ,-46.1333,167.6833,33.13,86,3,5.32,clear sky
306,Port-Cartier,CA,50.0334,-66.8654,67.75,89,74,6.4,broken clouds
307,Ayan,RU,56.45,138.1667,55.44,97,100,11.74,light rain
308,Tra Vinh,VN,9.9347,106.3453,75.54,95,100,4.14,overcast clouds
309,Aripuana,BR,-9.1667,-60.6333,94.17,26,24,1.23,few clouds
310,Nalut,LY,30.3333,10.85,89.33,25,34,7.25,scattered clouds
311,Pimentel,PE,-6.8367,-79.9342,73.69,56,0,14.97,clear sky
312,Orasje,BA,45.0356,18.6933,69.3,41,5,3.13,clear sky
313,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,86,40,14.97,scattered clouds
314,Blagodatnoye,RU,45.3997,42.5867,81.52,43,98,14.41,overcast clouds
315,Cavarzere,IT,45.1356,12.0817,80.55,39,78,1.16,broken clouds
316,Megion,RU,61.0296,76.1136,60.82,66,92,8.97,overcast clouds
317,Forest,US,37.3638,-79.2897,86.49,61,75,5.75,broken clouds
318,Gamba,GA,-2.65,10.0,70.81,86,11,6.42,few clouds
319,Lavrentiya,RU,65.5833,-171.0,43.74,89,72,5.95,broken clouds
320,Abha,SA,18.2164,42.5053,67.82,88,20,8.05,few clouds
321,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,6.91,broken clouds
322,Elko,US,41.0002,-115.5012,84.06,35,54,5.01,broken clouds
323,Lang Suan,TH,9.9456,99.0785,77.95,85,99,3.47,overcast clouds
324,Jaromerice Nad Rokytnou,CZ,49.0941,15.8933,71.31,55,0,5.75,clear sky
325,Mount Gambier,AU,-37.8333,140.7667,46.31,93,100,8.05,light intensity shower rain
326,Marawi,PH,7.9986,124.2928,67.91,90,77,2.55,broken clouds
327,Plettenberg Bay,ZA,-34.0527,23.3716,57.04,87,100,2.48,overcast clouds
328,Tahta,EG,26.7693,31.5021,90.0,21,2,7.29,clear sky
329,Kenai,US,60.5544,-151.2583,60.89,92,100,10.36,light rain
330,San Lorenzo,PY,-25.3333,-57.5333,72.54,46,0,9.22,clear sky
331,Luderitz,NA,-26.6481,15.1594,56.71,85,58,8.99,broken clouds
332,Ukiah,US,39.1502,-123.2078,92.44,43,0,3.44,clear sky
333,Sobolevo,RU,54.4299,31.8996,59.88,66,0,7.7,clear sky
334,Awbari,LY,26.5921,12.7805,88.03,15,0,5.01,clear sky
335,Colares,PT,38.7992,-9.4469,74.39,71,20,10.0,few clouds
336,Atambua,ID,-9.1061,124.8925,71.02,88,33,4.79,scattered clouds
337,Kaitangata,NZ,-46.2817,169.8464,31.35,90,10,6.2,clear sky
338,Bambous Virieux,MU,-20.3428,57.7575,68.25,64,20,13.8,light rain
339,Mitsamiouli,KM,-11.3847,43.2844,75.13,73,1,6.22,clear sky
340,Tiznit,MA,29.5833,-9.5,72.3,67,3,3.09,clear sky
341,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,82,45,8.03,scattered clouds
342,Bardsir,IR,29.9227,56.5743,72.21,19,0,8.48,clear sky
